ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionB_batch1	sample4_conditionB_batch1
1bf6518a-9393-4b7b-94b8-eb779066e345_R2_46	6.0	6.0	5.0	4.0
1c2c21d1-423e-48c9-86e7-a3d552869489_R1_103	1.0	5.0	7.0	15.0
1c3523f5-fcdf-467a-aa85-8cf59534cc87_R2_72	28.0	26.0	24.0	31.0
1c69af9a-b418-4882-bdfb-1b10d4c0031a_R1_73	30.0	9.0	66.0	82.0
1e1034c7-1c5a-4159-87cf-171f936d8c0f_R1_31	2.0	0.0	9.0	4.0
1e4c8b0b-1eab-4d84-a3e2-1f0a5c12fb36_R2_53	2.0	2.0	10.0	13.0
1eb5bf70-713e-444c-a827-74d2a677fa3a_R1_13	15.0	12.0	2.0	8.0
1fa2545b-f0db-460e-aec7-69def485923e_R2_38	17.0	9.0	10.0	14.0
1fbc34cc-9c50-4b94-b1e1-0da276b7e2be_R1_23	0.0	2.0	1.0	1.0
2128e35b-9840-454b-86ac-722464cb7aa7_R2_53	9.0	5.0	59.0	83.0
214b2bc7-be1c-434e-8f11-05580cca0fe3_R1_103	9.0	9.0	2.0	2.0
224c72c9-3f35-470a-8333-0365d86872e0_R1_33	2.0	2.0	1.0	2.0
224cb67f-25c2-41bc-87da-83e89f3e90e5_R1_103	2.0	1.0	4.0	5.0
225dff2c-d0bc-477b-a2d8-92162fac4fea_R1_73	11.0	1.0	21.0	47.0
233a7afe-5484-438d-b102-27f554cec29b_R2_53	2.0	0.0	20.0	14.0
2448d05e-524c-460e-9dd9-94cb852a13ef_R1_103	3.0	4.0	2.0	0.0
249fc5e4-a9b5-407f-a38e-80ebb6d4394f_R1_73	24.0	11.0	26.0	35.0
24a94991-74ce-4d83-825d-4da1a748af92_R2_150	109.0	46.0	12.0	15.0
24ab0049-ba85-451c-b76c-3b9823d6a027_R2_72	40.0	63.0	39.0	57.0
252236ea-790c-45cc-b395-3045bbd67148_R1_22	11.0	3.0	1.0	2.0
258f132d-67f5-489b-a849-8732c8d3976e_R1_103	39.0	11.0	3.0	1.0
25a2bb6b-bf56-4323-921a-1f9b26ffdd83_R2_53	3.0	5.0	15.0	31.0
25c44791-a170-4521-b26c-35df900ac3dd_R2_53	8.0	10.0	17.0	26.0
26ab8120-adf6-4988-ae49-f2db911f2ddf_R2_24	0.0	0.0	1.0	0.0
26f2085c-739a-49d4-b1b9-90c2b5f79852_R1_73	343.0	464.0	1378.0	2125.0
27079a23-9f41-408c-8735-2b74c4bc615f_R1_103	0.0	1.0	2.0	1.0
27317d51-9eab-4c51-8f14-0c6c2c989e29_R1_23	3.0	1.0	1.0	3.0
2864cd8a-cb3d-467d-8937-10d177e25ea7_R1_73	19.0	15.0	8.0	30.0
289b2de0-566c-444d-a3ea-b1cf914d7beb_R1_33	1.0	1.0	3.0	3.0
28c4b95b-b8d4-40a1-baee-4ff3e85eef4c_R1_92	36.0	11.0	5.0	4.0
298b79c3-f82a-483e-8785-21fafc66e48c_chrIS:8045000	87.0	23.0	49.0	94.0
29b9e9b3-830f-4681-b869-ef33d71cd697_R2_42	15.0	12.0	13.0	25.0
29dfca98-1ea1-4e4c-af5d-876d03c06ec6_R2_38	55.0	28.0	39.0	50.0
2a42ed60-4f2d-4706-8ae3-3eefb752afc4_R1_103	0.0	3.0	3.0	10.0
2a76904d-fd70-4245-aaac-315ad16b77c9_R1_73	49.0	27.0	128.0	182.0
