ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionB_batch1	sample4_conditionB_batch1
7991a188-7698-47f2-86f6-e8a6dbb2c749_R1_103	0.0	3.0	5.0	5.0
7ba569eb-ba9b-4254-97f9-5873f6967dc5_R2_60	0.0	1.0	5.0	5.0
7bdef961-b54a-467b-a851-e3e7fd94fa1f_R1_103	1.0	0.0	2.0	3.0
7bec75cf-64ee-4b79-b9f3-c678911919db_R1_103	7.0	7.0	2.0	4.0
7c6135ae-091a-4115-a85c-134b1c02f000_chrIS:144000	7.0	2.0	2.0	2.0
7ccdd721-50a0-4d5e-868e-3b8e7f6ac09e_R1_33	0.0	1.0	0.0	4.0
7d777981-ba26-495f-b1e7-9115eaecce71_R1_103	9.0	13.0	0.0	2.0
7dae9543-213c-4763-bdaa-131e7f48cf4e_R1_103	21.0	21.0	133.0	221.0
7db01b77-25c9-4f68-8bfc-cdf6498f6173_R1_103	1.0	0.0	5.0	5.0
7e2b71f7-d259-44bc-9135-83f8d187d0cb_R1_103	349.0	137.0	11.0	19.0
7e4a6a5a-c09c-4b71-ad09-b6490ac9cb6a_R2_72	34.0	45.0	26.0	35.0
7e610cbc-dbf0-48ad-aabc-1293efc9a47a_R1_73	24.0	24.0	100.0	119.0
7e6a1421-d83d-4014-8759-993abcb5ff43_R2_46	46.0	30.0	22.0	38.0
7ed0c056-ca74-4579-bd5e-3ef3f1fdebb8_R1_103	10.0	6.0	0.0	1.0
7ee4a974-ca90-46a3-9dcc-38dae7daa836_R2_53	6.0	5.0	13.0	14.0
7f29f78d-bdda-45e7-bab2-c01e5becbf88_R2_38	51.0	21.0	22.0	39.0
7f66b762-e87c-4d30-a658-23f8e7ffabbf_chrIS:6592000	13.0	7.0	1.0	3.0
7fc9cd72-b5d5-4e19-b2fb-e8a1264ee207_R2_42	7.0	8.0	8.0	9.0
800eafba-af1e-43c2-885b-87cc89884aac_R1_103	2.0	1.0	4.0	3.0
80970711-ec6c-44fe-b88a-11f38969bc96_R1_73	13.0	8.0	39.0	38.0
80b58114-82f3-4511-b564-4e84109e3c18_R2_41	6.0	2.0	2.0	2.0
814fbee7-c814-4446-b00a-79bee963c019_R2_42	23.0	21.0	12.0	22.0
818f24b1-8ce8-4b01-89fe-46fbb22ca657_chrIS:1635000	8938.0	2977.0	8135.0	12094.0
82b08f37-4f08-418c-833e-764258cc0056_R2_53	1.0	3.0	8.0	24.0
8361d86a-4dd7-4c15-9e9b-aced54e1945b_R2_38	28.0	9.0	15.0	22.0
84622787-f33b-47d3-9fa1-5cf69ffb31d9_R2_14	21.0	7.0	12.0	17.0
848050de-a98c-45a3-a1d9-affed263479d_R1_73	91.0	69.0	298.0	373.0
84b2f753-7497-4f2a-8bea-816ed32a0068_R1_23	3.0	0.0	0.0	4.0
852c2fa7-0f8e-4351-89d9-8df707030f7b_R1_22	27.0	10.0	2.0	3.0
858482d1-2ec9-4853-a2e5-f9d097207002_R1_103	24.0	14.0	2.0	3.0
85e32e33-e316-4bfa-a04a-f715b8f69ea4_R2_53	3.0	5.0	11.0	23.0
85eebc4e-e38f-4c54-8d1c-b72f3141ceb6_R1_103	15.0	10.0	1.0	3.0
862c0263-c73b-424e-ba9d-37ee0b02008c_R1_22	17.0	4.0	12.0	28.0
8665b8d4-02e0-48a5-856e-0ce1089571ff_R1_73	23.0	11.0	45.0	36.0
8681e77c-ecdd-4540-a11d-5ba7e1f8f786_chrIS:6583000	0.0	0.0	0.0	2.0
86862339-da6f-4b2e-bc35-feb0e41d4781_R1_73	29.0	10.0	24.0	38.0
86f78245-54f4-4e74-84bd-574364ea95ee_R1_103	17.0	11.0	1.0	1.0
882ae86c-1c53-44cf-bc5f-2fd158f18349_R2_53	3.0	2.0	7.0	7.0
886a2a7a-9994-4c86-a046-ba0a3b5458c8_R2_60	2.0	0.0	3.0	3.0
88c31e92-a59b-4d43-b91e-2076cae4ee20_R2_60	1.0	0.0	2.0	5.0
89197123-f434-499b-ac9c-23b152b2a68e_R2_53	1.0	1.0	7.0	19.0
8958c028-d86a-4a29-bdba-2d32d552edd5_R2_38	30.0	15.0	14.0	32.0
89b02532-c92d-46c2-a24a-1875b9870c75_R1_103	2.0	3.0	6.0	11.0
8a6272b2-d99b-4c2a-ae88-dab3c9f6dd2e_R1_92	2.0	0.0	3.0	0.0
8b23835a-db1c-49d8-8a0d-a6be4a280313_R2_14	87.0	42.0	54.0	67.0
8c463355-7dd2-4e5d-a350-a63bded3007e_R2_151	2.0	1.0	1.0	2.0
8c56cbf5-2daa-45f9-9d27-0745488e50fb_chrIS:4144000	16.0	20.0	11.0	10.0
8cc274f6-b703-44c3-a09b-4cde79fbcab0_R1_22	39.0	14.0	0.0	0.0
8d0e84d3-1c4e-4938-9019-f8f4d2d26c30_R2_46	475.0	171.0	271.0	316.0
8d2b64ad-dbb0-4e8a-87ff-e41de2a6dc47_R1_73	2.0	0.0	2.0	5.0
8d2d8d41-736b-431a-8b16-d04acaa3b079_R1_103	3.0	2.0	2.0	1.0
8d96b7f3-2141-4d5b-8c2a-a683d00389dc_R1_73	1.0	2.0	0.0	7.0
8db4e682-8323-452d-b650-ad0e1beb98d3_chrIS:6181000	17471.0	4750.0	23495.0	38607.0
8dbc37d0-fd4e-4bcd-aa2b-a97175ecf57e_R2_60	0.0	0.0	2.0	8.0
8ddebd7a-b8a2-4411-b69f-13d2bdcd51ce_R2_41	0.0	2.0	5.0	3.0
8e25224d-bf4b-452a-ba1e-c272e2afdf16-1_R2_53	0.0	2.0	6.0	9.0
8e25224d-bf4b-452a-ba1e-c272e2afdf16_R2_53	3.0	2.0	8.0	5.0
8f4a9720-a795-41ae-a1dd-96fbf408ba79_R1_71	9.0	1.0	5.0	5.0
8fc7b396-eeda-4936-8ed0-42ebf4f7644f_R1_73	7.0	1.0	4.0	7.0
9013ab12-7f82-44f9-807d-f32ea820ef04_R1_103	2.0	2.0	6.0	3.0
917471fb-a604-4452-835f-c3b9e3da2dd5_R1_11	53.0	28.0	35.0	49.0
9241e1d5-923f-4df3-9f7b-16184ef20f39_R2_38	46.0	21.0	29.0	49.0
92e0eeac-1d6c-41d4-af2a-094014433348_R1_73	3.0	0.0	6.0	1.0
92ede80a-19aa-4dd5-9fbe-17a2618f2f75_R2_42	25.0	19.0	12.0	15.0
93632d84-adc9-41cf-a395-c535a631de4a_R1_33	1.0	1.0	1.0	2.0
93d94030-5272-4e79-b088-3750501c149e_chrIS:9353000	4.0	3.0	10.0	23.0
93fc5eb8-d833-4719-bdfa-3458d28cf296_R2_26	9.0	7.0	2.0	0.0
9415fd03-96bf-4b51-9b72-0d845f1597b7_R1_43	0.0	0.0	2.0	0.0
94644ac7-c885-4751-b195-fa4bcae097c7_R1_13	13.0	11.0	1.0	3.0
94f2de0e-a79b-4bd3-8821-99a4a787f55a_chrIS:5972000	1.0	0.0	1.0	3.0
9527154b-db13-4191-af0e-f27dabecdff5_R1_73	0.0	1.0	7.0	5.0
9592d223-2424-424f-81d6-141eb4ec7787_R1_13	19.0	11.0	3.0	4.0
95f49275-3a54-47de-9ef1-f5fd3d74b180_R1_73	2.0	1.0	3.0	1.0
9647d149-c46b-4cd8-8457-8ef8e2005345_R1_103	1.0	1.0	1.0	4.0
971014d6-9574-4864-8162-b7e501327387_R1_13	13.0	5.0	3.0	4.0
971399a4-f812-40e5-957f-4cf11c57795a_R2_53	3.0	4.0	12.0	24.0
974e11f8-d7a5-4772-aea2-50a8535c8d20_R1_41	23.0	10.0	76.0	118.0
983a6af4-b169-4986-a43d-eb993acbd474_R1_73	9.0	3.0	15.0	16.0
9863cdbe-b0b3-4794-b2ce-cd70e4ed464e_R2_41	3.0	3.0	9.0	4.0
98812fc8-2bd8-4c57-bba9-cfdfd09abd01_R1_103	1.0	2.0	5.0	15.0
99380e25-6972-4757-9de0-14827846afe7_chrIS:2553000	19.0	6.0	3.0	3.0
995df37e-d0d3-4208-a28e-65949fd8337f_R2_38	10.0	7.0	13.0	14.0
9abec541-1bfd-4267-a649-f82c15b141cc_chrIS:6535000	6.0	11.0	2.0	2.0
9bb18a08-f7cf-44f4-b5a3-aa5d199f42b6_R1_73	3.0	2.0	4.0	13.0
9bc4137d-d3e0-4bd3-a9fe-0ed247d9c05b_R1_73	6.0	1.0	4.0	8.0
9c126443-bac9-4eb5-a4bc-35cf0393a8cf-1_R1_103	3.0	2.0	1.0	0.0
9c126443-bac9-4eb5-a4bc-35cf0393a8cf_R1_103	3.0	5.0	1.0	2.0
9d1f8b04-87e7-4633-8859-81dff0c1b60a_R1_13	22.0	13.0	3.0	2.0
9db978a7-83cc-411b-876c-bfc5dd3992da_R1_103	33.0	8.0	6.0	9.0
9e289414-81d2-485b-8cbe-8115ee51d91b_R1_73	1.0	3.0	2.0	3.0
9e2ae349-3659-4871-9f1e-7e6bf91ace97_R1_73	9.0	9.0	7.0	18.0
9e581f61-92b9-4881-b395-c0027b7ff8d5_R2_41	5.0	3.0	6.0	6.0
9e5b78ac-772a-4c9c-a8fb-bfaab02f88a6_R1_103	16.0	10.0	1.0	0.0
9e7b91ab-f8e1-440b-a1f9-8e4dd7a8bbdd_R1_103	11.0	7.0	1.0	2.0
9ead9edb-d311-4a69-84ae-c2568a8e9fad_chrIS:95000	131.0	81.0	124.0	163.0
9efc5618-0376-46e6-82a4-adf8cfdb3ff7_R1_73	372.0	183.0	938.0	1039.0
9f81abdf-f9bb-441f-94cd-3de631087c4b_R1_103	2.0	0.0	1.0	7.0
R1_101_1_R1_101	1612.0	404.0	34.0	44.0
R1_101_2_R1_101	827.0	229.0	208.0	340.0
R1_102_1_R1_102	923.0	469.0	375.0	573.0
R1_102_2_R1_102	64.0	26.0	994.0	1503.0
R1_103_1_R1_103	1292.0	1015.0	10715.0	17164.0
R1_103_2_R1_103	26565.0	17229.0	898.0	1331.0
R1_11_1_R1_11	10576.0	3791.0	7166.0	12585.0
R1_11_2_R1_11	92303.0	27629.0	58230.0	86043.0
R1_12_1_R1_12	11.0	2.0	22.0	36.0
R1_12_2_R1_12	1.0	1.0	150.0	232.0
R1_13_1_R1_13	2114.0	2657.0	851.0	1228.0
R1_13_2_R1_13	2417.0	664.0	85448.0	137772.0
R1_21_2_R1_21	10.0	1.0	22.0	21.0
R1_22_1_R1_22	19080.0	7148.0	86.0	81.0
R1_22_2_R1_22	1384.0	527.0	970.0	1499.0
R1_23_1_R1_23	205.0	171.0	274.0	309.0
R1_23_2_R1_23	270.0	111.0	215.0	309.0
R1_31_1_R1_31	16286.0	4868.0	10836.0	15931.0
R1_31_2_R1_31	774.0	393.0	719.0	934.0
R1_32_1_R1_32	249.0	75.0	1.0	0.0
R1_32_2_R1_32	51.0	12.0	24.0	42.0
R1_33_1_R1_33	160.0	502.0	305.0	307.0
R1_33_2_R1_33	1972.0	601.0	1177.0	1814.0
R1_41_1_R1_41	6580.0	1507.0	4250.0	6288.0
R1_42_1_R1_42	22.0	10.0	18.0	25.0
R1_42_2_R1_42	16.0	5.0	16.0	18.0
R1_43_1_R1_43	1.0	4.0	82.0	104.0
R1_43_2_R1_43	8.0	6.0	6.0	11.0
R1_51_2_R1_51	2.0	0.0	2.0	2.0
R1_52_1_R1_52	6.0	1.0	775.0	1270.0
R1_52_2_R1_52	48.0	17.0	32.0	48.0
R1_61_1_R1_61	175.0	30.0	114.0	176.0
R1_61_2_R1_61	256.0	50.0	130.0	228.0
R1_62_1_R1_62	92.0	20.0	11.0	26.0
R1_63_2_R1_63	7.0	3.0	15.0	15.0
R1_71_1_R1_71	483.0	136.0	327.0	485.0
R1_71_2_R1_71	3429.0	850.0	2027.0	3388.0
R1_72_1_R1_72	21.0	8.0	1.0	0.0
R1_73_1_R1_73	2488.0	1414.0	1815.0	2903.0
R1_81_1_R1_81	34.0	13.0	14.0	16.0
R1_81_2_R1_81	3.0	3.0	11.0	11.0
R1_82_1_R1_82	26.0	10.0	39.0	75.0
R1_82_2_R1_82	7.0	2.0	33.0	55.0
R1_83_1_R1_83	10.0	3.0	8.0	6.0
R1_83_2_R1_83	5.0	6.0	6.0	8.0
R1_91_1_R1_91	1318.0	472.0	6081.0	9652.0
R1_92_2_R1_92	4039.0	1410.0	649.0	921.0
R1_93_1_R1_93	1.0	1.0	1.0	4.0
R1_93_2_R1_93	0.0	0.0	2.0	1.0
R2_115_2_R2_115	20.0	10.0	28.0	16.0
R2_116_1_R2_116	143.0	60.0	84.0	132.0
R2_116_2_R2_116	122.0	49.0	81.0	87.0
R2_116_3_R2_116	372.0	194.0	231.0	298.0
R2_117_1_R2_117	3338.0	1831.0	2199.0	4016.0
R2_117_3_R2_117	1234.0	739.0	855.0	977.0
R2_14_1_R2_14	139470.0	58149.0	89718.0	145059.0
R2_14_2_R2_14	59250.0	17192.0	37145.0	60296.0
R2_14_3_R2_14	25696.0	9526.0	16329.0	26528.0
R2_150_1_R2_150	24246.0	8704.0	1904.0	2722.0
R2_150_2-1_R2_150	7484.0	7415.0	851.0	1325.0
R2_150_2_R2_150	452.0	248.0	34.0	51.0
R2_151_1_R2_151	53.0	11.0	36.0	41.0
R2_151_2_R2_151	58.0	17.0	49.0	63.0
R2_151_3_R2_151	90.0	27.0	57.0	79.0
R2_152_2_R2_152	3.0	3.0	0.0	3.0
R2_153_1_R2_153	97.0	34.0	26.0	44.0
R2_153_2_R2_153	50.0	14.0	8.0	19.0
R2_153_3_R2_153	48.0	17.0	7.0	20.0
R2_154_1_R2_154	45731.0	14982.0	30420.0	48656.0
R2_19_1_R2_19	262.0	232.0	107.0	166.0
R2_19_2_R2_19	254.0	182.0	30.0	38.0
R2_20_1_R2_20	2.0	0.0	8.0	11.0
R2_20_2_R2_20	28.0	17.0	90.0	145.0
R2_24_2_R2_24	5.0	12.0	7.0	8.0
R2_26_1_R2_26	229.0	269.0	33.0	30.0
R2_26_2-1_R2_26	4184.0	2990.0	200.0	267.0
R2_26_2_R2_26	129.0	34.0	6.0	8.0
R2_27_1_R2_27	33.0	19.0	1.0	4.0
R2_27_2_R2_27	536.0	189.0	38.0	54.0
R2_28_3_R2_28	2156.0	581.0	1305.0	1878.0
R2_32_1_R2_32	2696.0	889.0	830.0	1427.0
R2_32_2_R2_32	772.0	356.0	270.0	425.0
R2_33_1_R2_33	15.0	4.0	16.0	17.0
R2_37_1_R2_37	9.0	3.0	0.0	1.0
R2_37_2_R2_37	12.0	9.0	2.0	1.0
R2_37_3_R2_37	12.0	1.0	1.0	2.0
R2_38_1_R2_38	3787.0	1325.0	2294.0	3849.0
R2_38_2_R2_38	8880.0	2945.0	5643.0	9367.0
R2_38_3_R2_38	13557.0	5455.0	8773.0	14347.0
R2_38_4_R2_38	70066.0	20698.0	40705.0	68449.0
R2_41_1_R2_41	195.0	255.0	828.0	1169.0
R2_41_2_R2_41	53182.0	15467.0	520.0	860.0
R2_42_1_R2_42	12247.0	7342.0	9655.0	15175.0
R2_42_2_R2_42	65492.0	18947.0	39331.0	63041.0
R2_45_1_R2_45	66.0	43.0	51.0	77.0
R2_45_2_R2_45	138.0	127.0	124.0	181.0
R2_45_3_R2_45	164.0	140.0	130.0	184.0
R2_45_4_R2_45	213.0	257.0	261.0	394.0
R2_46_1_R2_46	2055.0	4214.0	2503.0	3825.0
R2_53_1_R2_53	1839.0	3927.0	19363.0	24622.0
R2_53_2_R2_53	673.0	1779.0	8689.0	11844.0
R2_53_3_R2_53	374.0	565.0	3547.0	4892.0
R2_54_2_R2_54	1.0	6.0	3.0	2.0
R2_55_2_R2_55	271.0	121.0	20.0	26.0
R2_55_3_R2_55	7.0	4.0	3.0	5.0
R2_57_1_R2_57	90.0	47.0	30.0	41.0
R2_57_2_R2_57	346.0	201.0	2.0	4.0
R2_59_1_R2_59	8.0	14.0	167.0	189.0
R2_59_2_R2_59	82.0	39.0	696.0	1028.0
R2_59_3_R2_59	42.0	26.0	640.0	1014.0
R2_60_1_R2_60	159.0	66.0	872.0	1249.0
R2_60_2_R2_60	54.0	37.0	1538.0	2238.0
R2_63_1_R2_63	131.0	58.0	81.0	71.0
R2_63_3_R2_63	73.0	30.0	44.0	49.0
R2_67_1_R2_67	309.0	108.0	831.0	1070.0
R2_68_1_R2_68	110.0	64.0	3.0	7.0
R2_68_2_R2_68	88.0	41.0	1.0	1.0
R2_6_1_R2_6	61523.0	17951.0	6071.0	10242.0
R2_71_1_R2_71	60.0	21.0	45.0	101.0
R2_71_2_R2_71	8.0	7.0	8.0	7.0
R2_72_1_R2_72	1343.0	1917.0	1544.0	2126.0
R2_72_2_R2_72	2320.0	4144.0	3070.0	4085.0
R2_72_3_R2_72	4096.0	9747.0	7246.0	9239.0
R2_72_4_R2_72	15441.0	16859.0	17486.0	24210.0
R2_73_1_R2_73	9.0	4.0	118.0	188.0
R2_73_2_R2_73	23.0	8.0	2.0	9.0
R2_76_1_R2_76	1.0	2.0	0.0	1.0
R2_76_3_R2_76	4.0	1.0	2.0	2.0
R2_7_1_R2_7	21739.0	5986.0	2393.0	4133.0
R2_7_2_R2_7	11618.0	8522.0	219.0	314.0
a0343408-f252-44cf-9264-2c2c5eb2f382_R1_103	7.0	6.0	2.0	3.0
a16db526-5708-4a49-bb3d-34206adb0a28_R1_14	107151.0	29717.0	136287.0	210477.0
a1a7ebb0-d611-45f9-8b5e-5a6d59ccdb39_R2_60	0.0	0.0	1.0	0.0
a308873a-7f0d-4569-94b7-984523571a4b_R2_53	2.0	1.0	11.0	9.0
a3c322bb-13f4-4b5b-8913-7c96184528c2_R1_103	4.0	6.0	0.0	0.0
a4e9907d-f28e-45bc-9f98-1b64797796a9_R1_73	2.0	1.0	4.0	5.0
a51b0da0-d876-48ec-b12a-b7dc9485323d_R1_73	3.0	0.0	0.0	2.0
a61d9be8-8bf2-4a29-830d-35a5b5558569_R2_53	2.0	1.0	7.0	7.0
a633795c-fe00-43a8-a35f-3c0846151035_R1_103	2.0	0.0	0.0	3.0
a667017c-ee9a-44ea-a0ed-b9b2815ae678-1_R2_59	0.0	0.0	2.0	1.0
a71859a1-6eb8-41c3-a422-a469b749c422_R1_103	29.0	20.0	1.0	2.0
a71e6e34-fe78-418d-a103-cfa1f911846c_R1_73	40.0	13.0	24.0	41.0
a7e8fb93-4933-4629-90b0-e68e19fe1018_R2_47	1.0	0.0	1.0	2.0
a8a4ca46-bc49-4002-b84d-0c2549f03a39_R1_22	36.0	12.0	1.0	0.0
a8ae05b8-5276-41c4-aa56-d113fd556021_R1_103	0.0	0.0	6.0	4.0
aa912ced-21c2-4791-b1d4-9a5b570a0c05_R2_26	13.0	10.0	0.0	2.0
ab0f471f-3161-45b2-ad29-e5822c71ffa3_R1_92	3.0	0.0	0.0	1.0
ab57cb26-043c-4548-a200-248c871d6975_R1_73	21.0	10.0	70.0	93.0
abcb5efe-51ff-48bb-be26-28366a167de2_R1_92	4.0	0.0	2.0	2.0
ac2993a9-4a53-4bb4-a320-6b0959b67e09_R1_73	7.0	4.0	19.0	28.0
ac4a504d-06a8-4839-91df-4e82f2a058e9_R1_31	17.0	6.0	6.0	6.0
ac961567-c1c5-4462-9132-57a78f99df2f_R1_23	5.0	0.0	0.0	2.0
acd19bd1-e1be-403e-8d68-db250a400909_chrIS:6535000	57.0	41.0	26.0	77.0
ad04ce61-e369-4c37-a10b-946a98232780_R1_103	9.0	6.0	0.0	3.0
ad40cddc-1a55-4421-9e64-aa7a2ad3dcda_chrIS:4323000	2.0	3.0	0.0	0.0
ad8f7098-2ef3-4b5b-a33d-0c883c39c538_R1_73	22.0	8.0	24.0	26.0
ae0cbf21-4477-4202-9ab8-ebee4a0b8cea_R1_73	50.0	20.0	130.0	183.0
ae829f6d-65de-4a90-9790-331cdf2712a6_R1_73	1.0	1.0	7.0	8.0
ae8f0c4e-f573-4bf3-af9c-971a621674eb_R1_103	6.0	1.0	0.0	1.0
aea6b606-1d0e-4232-bacd-126abcb04b66_R1_103	3.0	8.0	7.0	12.0
af1551b7-19c7-4162-ac08-e0bcc7f20ced_R2_42	11.0	7.0	5.0	10.0
b2ac1a8d-6d1b-4507-88e3-2c40418eda9b_R2_53	1.0	1.0	12.0	12.0
b2d53c48-86c3-45b6-9fa7-82acf2ed3e1f_R2_53	13.0	7.0	44.0	73.0
b3b0c094-5573-4d1b-a3bd-e30ccc9798e8_R1_103	7.0	2.0	26.0	45.0
b3b3c132-4749-4339-b796-4804bdaffd90_R1_73	31.0	12.0	78.0	86.0
b481e98c-0af4-42d6-b3b4-67e6eae8d1f8_R1_33	1.0	1.0	0.0	0.0
b4a30444-de5f-4f96-80d4-c676681bb7a6_R1_72	35.0	15.0	2.0	7.0
b4cbfed8-1b43-4bab-a813-381baea7d91d_R2_150	37.0	17.0	3.0	9.0
b4da3598-ca48-4095-a903-02da3a674c7c_R1_103	1.0	0.0	2.0	2.0
b4e1885b-4c87-42dc-ba2f-c6259583e110_R2_41	18.0	13.0	0.0	1.0
b5703713-8fc9-4425-92e4-11caa6bc5125_R2_57	2.0	2.0	0.0	0.0
b57d1b92-ecbc-4570-822c-de0be44523cc_R1_33	6.0	3.0	2.0	4.0
b6d04477-3f6a-4dbb-a4c2-525eab1a91d8_R2_53	10.0	7.0	26.0	36.0
b824cf9d-00c3-4cea-9371-d44876eda9ad_R1_73	93.0	78.0	258.0	317.0
b87295e7-2cfb-4f52-bfa4-5e99db2d0f93-1_R2_42	111.0	13.0	51.0	85.0
b87295e7-2cfb-4f52-bfa4-5e99db2d0f93_R2_42	48.0	23.0	31.0	50.0
b8d3f53d-d7c9-47f9-ba8b-7d2923ce2f5a_R1_103	3.0	1.0	15.0	9.0
b8e6e481-734c-49cd-9c8b-c263f4615afa_R1_73	7.0	8.0	18.0	27.0
b98626fc-b4a2-43ff-ba63-b4fd2a91fdf2_chrIS:8368000	1.0	2.0	5.0	2.0
b98a6c23-e283-4190-a523-0c4109ac615e_R1_31	4.0	0.0	1.0	1.0
b9e89a9b-e012-434c-85e2-4fe5b73e142d_R1_33	0.0	4.0	0.0	1.0
ba3066f7-8f35-409d-b29f-f754cd651a15_R2_47	4.0	3.0	7.0	5.0
ba6ec93c-097e-4df8-a8de-a5d6bf54a2be_R2_53	6.0	2.0	18.0	17.0
babc755c-13bf-4fa0-bbf1-2d0e9dfea99e_R2_53	9.0	8.0	41.0	57.0
bb7f4592-ca32-439f-8a80-265451c81faa_R2_53	7.0	14.0	39.0	67.0
bbb0bcbd-f84e-4123-8a21-cd7ecbed0044_R1_33	3.0	3.0	5.0	1.0
bc3a03b2-1dc2-408b-a756-2aff237eaf0e_R1_103	3.0	2.0	2.0	2.0
bc6481bb-406a-4c84-b584-8e9df0b4070e_R2_53	5.0	6.0	28.0	32.0
bde31658-65aa-48e3-88cf-23b8ac057b37_R1_73	14.0	9.0	20.0	24.0
bf10e483-6458-49ca-899d-d6f40caa3a64_R2_53	5.0	8.0	20.0	27.0
bf31f2f8-a6c8-46eb-86cf-2c6ba082fdb0_R2_53	3.0	7.0	20.0	25.0
bf5b6e7a-fbf7-4291-874e-170abd5cd7e9_R1_23	4.0	0.0	2.0	2.0
c04a9956-dea3-4b5b-93c2-2d7788b99880_R2_53	2.0	1.0	10.0	9.0
c09884a0-6699-4620-906f-8627ab29e608_R1_13	16.0	12.0	5.0	4.0
c0bf6f23-a09f-43ed-960b-383000f5d5c0_R1_103	2.0	1.0	2.0	1.0
c0f661c2-62b4-4015-ad49-1fcfd3d6d1ec_R2_54	31.0	10.0	39.0	40.0
c18389de-7546-4b98-a33a-28ecc874cac1_R2_38	20.0	9.0	15.0	17.0
c2041d3c-f6da-4dc6-b409-d66c38e270a1_R1_103	2.0	0.0	1.0	2.0
c2416d74-3cc9-47ff-a034-1241249f10c6_R1_73	2.0	4.0	2.0	3.0
c2c5a7c5-dca2-4395-b83e-07a5f3fe648a_R2_59	0.0	0.0	2.0	2.0
c39a7da9-214d-448e-b750-7244153eb13c_chrIS:8623000	5.0	1.0	0.0	5.0
c41b97ab-a484-44f3-8585-9552657859e8_R1_92	12.0	3.0	1.0	2.0
c42b90b1-4c6e-4afc-a001-a7c046ca7e2b_R1_73	1.0	3.0	3.0	6.0
c4f1546d-5954-4cda-9775-f40dd7a09292_R2_7	24.0	13.0	1.0	1.0
c5a720c1-56e7-4837-9e0d-7d12c6ad1ef2_R1_103	17.0	16.0	1.0	1.0
c5d8fced-2b74-431d-a0db-f4a58e80385d_R2_72	99.0	111.0	95.0	128.0
c5dcdf30-08bf-49d5-af84-f18d4bce4c31_R1_73	7.0	2.0	18.0	31.0
c6656637-0996-4682-8034-c2c618cc2b2e_R1_103	15.0	15.0	1.0	0.0
c682d96e-a90d-4a5e-a1a5-d08cfbb6afc1_R2_45	2.0	2.0	0.0	2.0
c6dbb7a9-457a-4dde-9a4f-1b594e85dad4_R1_103	3.0	1.0	3.0	3.0
c80e72ad-f701-4e0d-8603-b21eb40cf68c_R2_53	10.0	6.0	49.0	48.0
c883ec88-9106-4bca-891b-9a73f860511f_R1_103	17.0	23.0	2.0	0.0
c8a7d501-955d-421f-9e73-0967299b55f4_R1_33	3.0	2.0	1.0	4.0
c8f38b76-a360-49a7-9a41-c7e0fe651fbf_R2_41	40.0	20.0	0.0	2.0
c9222d51-67b2-4ed7-a8cc-a5de66d13a16_R1_73	95.0	37.0	61.0	90.0
c92a5b93-1356-4b1f-9003-92b064cd8cb9_R1_102	0.0	0.0	0.0	2.0
ca188172-d502-4512-a608-926cb4d816c9_R1_92	1.0	0.0	0.0	0.0
ca853bd5-237c-4a51-a23e-16ef1aa7a0ba_R1_33	0.0	1.0	0.0	2.0
caa85c4e-c43f-439b-af23-0ad38c8a302d_chrIS:8211000	4.0	1.0	9.0	16.0
cb1db273-03dd-4305-b544-b996a09349dc_R1_103	0.0	0.0	1.0	2.0
cb9441bd-95f3-42fa-ba77-ecebdd2d29d8_R1_73	3.0	0.0	1.0	8.0
ccc278bf-9286-4d7e-be58-614d3ee88265_R1_22	185.0	49.0	0.0	1.0
ccd1b4fb-9fac-4ac4-9856-4fb73d9c0c8d_R1_73	2.0	3.0	3.0	0.0
cde52e92-899e-4f05-9814-749ea0906021_R1_73	4.0	1.0	3.0	9.0
cf61b636-ca13-4fe0-a4a2-89a7b5bb1a20_R2_53	0.0	1.0	6.0	12.0
d005ead9-41da-430d-9e88-8760a5bdf088_R1_103	0.0	2.0	2.0	6.0
d0693975-5586-42c8-8179-3c2a4cc04abf_R2_41	2.0	0.0	0.0	0.0
d17cec04-3c35-449b-89ba-dd8fe5d95d05_R2_41	7.0	8.0	17.0	23.0
d1b03b01-620f-47c1-8182-f0386eaeff29_R1_103	8.0	9.0	3.0	3.0
d2edd913-9315-4ab4-ae6d-80e36dde372c_R2_72	55.0	62.0	44.0	40.0
d32ac849-deb9-4986-ae86-45c4db37a918_R1_23	4.0	3.0	1.0	1.0
d3e4de84-75a9-4348-bc57-4b303e15344e_chrIS:6188000	8982.0	2444.0	12969.0	21205.0
d49de1bf-acce-4926-803c-a02843909f16_R1_71	6.0	2.0	2.0	2.0
d55ae3f8-7a3b-4121-b707-88e57d2a62eb_R1_22	95.0	27.0	3.0	12.0
d6cb6dff-89aa-4431-b1e0-287b82b0a56d_R1_73	4.0	1.0	6.0	2.0
d6f9c105-3bce-4fee-8bb2-367dbbb1e894_R1_103	0.0	1.0	4.0	6.0
d7112b53-0172-49b7-9a6f-07dc8b9e8393_R2_53	1.0	4.0	11.0	11.0
d7654431-e913-4444-a5b9-6f8c2948d753_R2_53	7.0	4.0	20.0	33.0
d80ec4af-f837-43d8-809d-140391710030_R2_150	251.0	111.0	15.0	22.0
d88bcb9d-968d-4748-b605-5e1a8f29b92c_R2_53	1.0	0.0	8.0	13.0
d899e89a-89d8-4599-a46b-f36f2cf79dcd_R1_22	29.0	4.0	2.0	5.0
